web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,data18,data19,image2,data4
1775577185-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Maravilloso❤️,Alexey Iudin,"Muy buena atención de parte del equipo del restaurante, muy atentos y amables. Y muy buena comida, también me han regalado unos muy ricos chupitos de mango. ❤️❤️",dic 2025 • Amigos,2.0,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/14/9c/10/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,Escrita el 29 de diciembre de 2025
1775577185-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Comida India de calidad,Diego Aldcroft,"Muy bueno, comimos tikka masala, pollo korma y samosas de verduras. Todo bueno ademas de un buen matido de mango, mala de kofta",dic 2025 • Amigos,1.0,1 contribución,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,Escrita el 28 de diciembre de 2025
1775577185-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,"Siempre genial, la comida buenísima y el trato perfecto",lucia c,"Me encanta. Pedimos las samosas de verduras, naan de queso, batido de mango, malai kofta y todo buenísimo. Recomendamos pedir al camarero que aconseje en cantidad",dic 2025 • Amigos,1.0,1 contribución,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,Escrita el 28 de diciembre de 2025
1775577185-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Excelente,Jhennifer V,La comida es deliciosa y el servicio es rápido y amable nos gusta el pollo Tikka masala y el queso naan batido mango excelente,dic 2025 • Amigos,1.0,1 contribución,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,,,,,Escrita el 26 de diciembre de 2025
1775577185-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Comida Nepalí deliciosa… en Acuario 11 Madrid!,Manuel A,"He comido el pollo Tikka Phall, Naan con queso!! Que delicia!!! Recomendado el Té Nepalí y el chupito de mango muy delicioso!",dic 2025 • En familia,1.0,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,Escrita el 23 de diciembre de 2025
1775577185-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Muy rica,Marco M,La comida muy rica pollo tikka masala naan de queso  pollo curry pollo birayni muy rico precio cantidad bueno volveremos,dic 2025 • En familia,1.0,1 contribución,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,Escrita el 22 de diciembre de 2025
1775577185-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Vale la pena visitar,Ben B,Fuimos aquí por comida nutritiva y buen WiFi! Recomendaría si viajas al aeropuerto y estás buscando un buen lugar para comer.,dic 2025 • Solo,1.0,1 contribución,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,Escrita el 21 de diciembre de 2025
1775577185-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Comida,Jet06629500545,"Fui con mi amiga para celebrar las navidades ya que es un restaurante al que ya he ido varias veces en familia. La comida estaba super buena!! Comimos samosas, pollo tikka masala y naam de ajo. Desde luego, un muy buen sitio para ir tanto en familia como con amigos.",dic 2025 • Amigos,1.0,1 contribución,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,Escrita el 19 de diciembre de 2025
1775577185-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Excelente,Lucia R,"La comida muy buena, probamos el pollo Tikamasala y estaba delicioso. También probamos la Samosa y también excelente.",dic 2025 • Amigos,1.0,1 contribución,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,Escrita el 19 de diciembre de 2025
1775577185-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Recommended,Anurag J,La deliciosa comida india en el corazón del aeropuerto de Barajas Madrid el momo es la mejor comida típica de Nepal viene increíble volveremos cuando en madrid,dic 2025 • Amigos,2.0,2 contribuciones,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,Escrita el 15 de diciembre de 2025
