web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,data19,data20
1775582786-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Cocina de mala calidad,Carmen L,"Cocina de mala calidad. Un lugar para guiris sin duda.   
El pulpo a la plancha desastroso. Huevos rotos y croquetas malos.",2 contribuciones,2.0,Escrita el 31 de diciembre de 2025,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,
1775582786-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Buen servicio!,César Augusto C,"Alberto fue muy amable, nos atendió súper rápido y con mucho gusto, un encanto, la comida muy rápida y muy rica, una experiencia top",1 contribución,1.0,Escrita el 31 de diciembre de 2025,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,
1775582786-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,La comida fue deliciosa y una experiencia inolvidable,gabriela f,"Fue una experiencia maravillosa, con comida deliciosa y un ambiente espectacular, además de resaltar la excelente atención al cliente.",1 contribución,1.0,Escrita el 30 de diciembre de 2025,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,
1775582771-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Muy buen lugar para comer una buena paella muy recomendado,Fabiana V,"El lugar súper bonito, comimos paella y nos pareció que estaba muy buena, la mejor que he probado en Madrid en mi caso, y la atención que nos dio Roger fue excepcional, un lugar para repetir, muchas gracias!!",1 contribución,1.0,Escrita el 7 de marzo de 2026,Prueben la paella de mariscos,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,
1775582771-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Comida y Bebidas Rica,Kenny A,"El ambiente muy agradable, El servicio perfecto, La Sangria es un arte muy sabroso. La paella esquisita y El Risotto muy rico. Es un lugar fantastico. Definitivamente vamos a regresar, una experiencia exceptional.",15 contribuciones,15.0,Escrita el 4 de marzo de 2026,,15 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/99/2a/4a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,
1775582771-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Taberna española,Ana Sabrina N,Sitio recomendado al 100% . Nos dejaron pasar con nuestro perro y sin reserva. El risotto estaba excelente. Sin duda repetiremos.,5 contribuciones,5.0,Escrita el 26 de febrero de 2026,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Valencia, España",,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,
1775582771-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Paella y Solomillo 🙌🏻,Culture10184082548,Buena cocina y atención! Gracias Alberto por tu atención!!,1 contribución,1.0,Escrita el 22 de febrero de 2026,,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,
1775582771-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Lugar lindo para tomar algo en centro de Madrid,Jbr8419,"Lugar en una calle linda en el centro de Madrid. Seguro es bueno para ir a tomar algo pero para almorzar, la comida no es muy buena.",84 contribuciones,84.0,Escrita el 21 de febrero de 2026,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","París, Francia",,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,
1775582771-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Recomendación,Humberto M,"Disfrutamos una paella deliciosa y calamares en su punto, con gran sabor y presentación. Alberto brindó una atención excepcional. Volveremos sin duda.",1 contribución,1.0,Escrita el 11 de febrero de 2026,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,
1775582771-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,La atención excelente!,Melina Katherin... O,Muy buena atención de Alberto!,1 contribución,1.0,Escrita el 11 de febrero de 2026,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,
1775582771-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Muy rico,Maria Josefina M,"Excelente comida y mejor servicio, llegamos por casualidad pero pasamos un rato muy agradable, veníamos por una cervezas y vinos tinto, pero comimos aquí y está muy rico",1 contribución,1.0,Escrita el 8 de febrero de 2026,,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,,
1775582771-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Alberto estupendo,Rosa M M,"Lo pasamos muy bien y cenamos fenomenal, Alberto un camarero excelente, súper educado!! Gracias, volveremos……………..",1 contribución,1.0,Escrita el 8 de febrero de 2026,,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,
1775582771-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Taberna española,Gabriel Ivan S,"Es un restaurante excelente en el corazón d3 Madrid. La comida es deliciosa y auténtica,  con platos muy bien elaborados y presentados.",5 contribuciones,5.0,Escrita el 3 de febrero de 2026,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Almagro, España",,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,,
1775582771-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Lo más valioso en un negocio es el capital humano y ustedes tienen uno muy bueno. Felicidades!,Nidia A,"La idea era cenar en La Tarberna del Sur, pero cuando llegamos estaba llena y muy amablemente el señor de la puerta nos preguntó, ustedes desean que llame a El Sur de Moratin para ver si tienen mesas disponibles? Claro que sí señor. 
Enseguida resolvió lo de la reserva y nos fuimos caminando, cuando llegamos todo fue genial, todo lo que pedimos estaba divino y Alberto nos atendió espléndidamente. 
Lo recomiendo 💯.",2 contribuciones,2.0,Escrita el 2 de febrero de 2026,Todo es rico! 😋,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/5b/6e/74/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,
1775582771-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Todo de diez !!!,Donovan O,"Comida, atencion y ambiente excelente. Venimos siguiendo los buenos comentarios de TripAvisior, confirmando la calidad de los comensales. Muy recomendado.",2 contribuciones,2.0,Escrita el 2 de febrero de 2026,,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,
1775582771-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Muy bien restaurante recomendado!💕,diiamonds s,"La comida es buena y la gente es amable. Me gusta ir allí. 😊 Los bebidas y las comidas muy ricooo!
Especialmente el camarero:
Steven, de El Salvador!",4 contribuciones,4.0,Escrita el 1 de febrero de 2026,,4 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,Leer más,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/58/fb/a4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,
1775582771-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Riquísimo,nancy p,La paella está muy buena y la cerveza al gusto además que el precio es accesible y no está de locura la verdad recomendado un 10/10,2 contribuciones,2.0,Escrita el 1 de febrero de 2026,,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/58/c7/e8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,
1775582771-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Visita al restaurante,Laura M,Buena comida y experiencia. Muy buen servicio por parte de Alberto nuestro camarero . Decoración muy apropiada y acorde con el establecimiento .,1 contribución,1.0,Escrita el 31 de enero de 2026,,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,,
