web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,data4,data17,data18,data19,data20,data21,image3,position2
1776249622-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Fantástica cocina española y excelente vino.,Charlie H,"Este es un excelente restaurante. Fabulosa selección de vinos españoles, y la comida es muy refinada sin ser quisquillosa. El personal de servicio habla un excelente inglés y nos ayudó a maridar vinos con la comida que habíamos seleccionado, dejándonos probar cada uno antes de pedir. No había ni un solo extranjero allí aparte de nosotros, lo que siempre es una muy buena señal. Muy recomendable.",1 contribución,1.0,Escrita el 4 de diciembre de 2024,,,,,,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/45/13/34/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,Leer más,0,,,,,
1776249622-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Una experiencia que repetiré en breve,Borja,"Una exquisita tabla de quesos, huevos rotos con jamón muy buenos con la mejor presentación y una enorme variedad de vinos, probé por primera vez un vino fortificado excelente. Muy agradecidos por la atención y recomendaciones de Valentina",2 contribuciones,2.0,Escrita el 31 de octubre de 2024,La tabla de quesos estuvo espectacular y sobre todo al dejarnos recomendar los vinos la experiencia se elevó enormemente.,Calidad/precio,Comida,Servicio,Ambiente,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/f4/b4/cd/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,Leer más,0,,,,,
1776249622-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,"Increíble!! Comida verdaderamente soectacular, servicio y experiencia. Muchas gracias Sa Vida. Un restaurante de 5 estrellas y bar de vinos.",Beatrice L,Qué lugar increíble. ¡Comida increíble! Y la carta de vinos es otra cosa. Ambiente relajado y muy acogedor. Realmente lo recomiendo. ¡Kudos al equipo y un gran saludo a Tristán (de Perpiñán)!,13 contribuciones,13.0,Escrita el 30 de octubre de 2024,,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,Leer más,0,,,,,
1776249622-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Fabuloso!!,Nonni,"Fabulosa comida. Realmente disfruté esto. Muy recomendable. El servicio era amable y bien informado. 
Sin duda volveré!","Chesham, Reino Unido",1.0,Escrita el 27 de octubre de 2024,,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Traducido automáticamente,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,,Leer más,0,,,,,
1776249622-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,descubrimiento,kimMollet,"no conocia este restaurante  de  la ciudad, fui sin reserva y me atendieron muy bien, comida de diseño deliciosa y una gran selecion de vinos","Mollet del Valles, España",1120.0,Escrita el 26 de octubre de 2024,,Calidad/precio,Comida,Servicio,Ambiente,,,1120 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/e7/ea/8a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/df/dd/87/kimmollet.jpg?w=100&h=-1&s=1,,Leer más,0,,,,,
1776249622-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Cena romántica para 2,Svetlana L,Deliciosa cena para 2 con excelente comida y bebidas buen servicio y ambiente relajante. La selección de vinos es impecabil y el personal es amable y servicial,1 contribución,1.0,Escrita el 23 de octubre de 2024,,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,Leer más,0,,,,,
1776249605-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Increíble la mezcla de sabores,maria remedios a,Muy bueno el atendimiento y la comida. Seguro que lo aconsejaré a otros amigos. El cebiche me pareció inmejorable y el tatin  de pera lo mismo,1 contribución,1.0,Escrita el 9 de marzo de 2025,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,,,,,,,1.0
1776249605-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Sorprendente y exquisito,mllamun,Todo lo que comimos fue excelente así como el vino. Tienen una carta de vinos excelentes. El trato también fue exquisito,"Santa Cruz de Tenerife, España",4.0,Escrita el 9 de marzo de 2025,4 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,,,,,,,0.0
1776249605-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,De lo mejor de Ibiza,Maria Aguiar,"Sitio estupendo, todos los platos estuvieron exquisitos y el trato fue fantástico también. El ceviche estuvo increíble, 100% repetiría","Madrid, España",23.0,Escrita el 9 de marzo de 2025,23 contribuciones,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,,,,,,,0.0
1776249605-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Para volver,Dulce Maria L,"Platos con ingredientes de primera, vinoteca excelente y personal amabilísimo, el mejor restaurante en el que he comido en mi visita a la isla, absolutamente recomendable",1 contribución,1.0,Escrita el 9 de marzo de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,,,,,,0.0
1776249605-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,"Comida increíble, experiencia auténtica.",Paul K,"Comida increíble, superó todas las expectativas. Se siente como un auténtico restaurante local que funciona todo el año y está ocupado todo el año. Gran servicio también.",3 contribuciones,3.0,Escrita el 5 de marzo de 2025,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,,,,,,,0.0
1776249605-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Muy recomendable,Nando J,"Muy recomendable. Amabilidad, lugar acogedor, y todo muy muy bien elaborado. Exquisito. Me ha encantado. Sin duda, para repetir.",1 contribución,1.0,Escrita el 1 de marzo de 2025,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,,,,,,0.0
1776249605-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Degustación de placer,Eliasibiza,"Excelente atención mucha profesionalidad, muy amables y agradable sitio, con excelente calidad en la comida y los productos y la carta de vinos con un extenso y variada selección de vinos de todo el mundo.
Muchas gracias por vuestra atención y repetiremos.!!!",2 contribuciones,2.0,Escrita el 26 de febrero de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,,,,,,,0.0
1776249605-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Fusión japo-peruana ibicenca,Miguel V,"Se trsta de un supuesto wine- bar  pero en realidad es un mesón de inspiración japonesa y peruana. Giozas y samosas aceptables, mejor las croquetas. El pulpo normal, lo mejor las salsas y el ceviche, aunque le falta picante. Los vinos muy caros.","Provincia de Zaragoza, España",385.0,Escrita el 21 de febrero de 2025,385 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/70/4b/ba/miguel-v.jpg?w=100&h=-1&s=1,,,,,,,,,1.0
1776249605-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Menú del día,Ana A,"Estuvimos hace jns semana tomando el menú 16,50€.  Bastante regular y además no incluye ni un agua y claro sin postre. He ido varias veces a lo largo de los últimos años pero voy a dejar de ir. Y lo siento pues en carta tienen platos muy buenos. Hasta la vista","Oviedo, España",380.0,Escrita el 21 de febrero de 2025,380 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/ab/7f/e6/ana-a.jpg?w=100&h=-1&s=1,,,,,,,,,1.0
1776249605-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Fantástico,angie,"Todo estaba muy bueno, bien cocinado. Los camareros muy simpáticos y atentos. Para repetir. Totalmente recomendable",2 contribuciones,2.0,Escrita el 8 de febrero de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,,,,,,,1.0
1776249605-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Vinos ricos,piter,"Nos encantó, tiene una carta de vinos increíblemente grande y unos platos increíbles servicios de 10 y muy familiar volveremos sin duda gracias Ruben por el servicio y la antencion 10 de 10 volveremos","Ibiza Ciudad, España",5.0,Escrita el 29 de enero de 2025,5 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,,,,,,,1.0
1776249605-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Experiencia en familia,Discover56661037517,"Me ha encantado todo, el camarero es muy amable y es muy culto, si queréis aprender recomiendo ir por la noche, la comida espectacular me ha gustado todo una combinación de sabores auténticos en resumen recomiendo ir. Mi peque se lo ha pasado genial con el equipo de cocina y con los camareros.",1 contribución,1.0,Escrita el 29 de enero de 2025,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,,,,,,1.0
1776249605-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Cena,jjones137,"Gran comida y un gran servicio, recomendaciones de vino muy bien informado. 

Sin duda recomendaría este restaurante a cualquiera","Luzón, Filipinas",1.0,Escrita el 27 de enero de 2025,1 contribución,Calidad/precio,Comida,Servicio,Ambiente,,,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,,,,,,,,0.0
1776249605-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Sabroso,Yolanda D,"Una serendipia, buscábamos donde comer cualquier cosa porque no era muy pronto y nos encontramos con Sa Vida, muy bonito por fuera y muy sabroso por dentro.  No sé cual de los tres platos que probamos es el que más me gustó.  El carbón de bacalao muy sorprendente.  Tatin de pera de postre de 10. Volvería a repetir si alguna vez vuelvo a Ibiza. El servicio de esos que lo hacen profesional.",1 contribución,1.0,Escrita el 25 de enero de 2025,,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,,,,,,,1.0
1776249605-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Experiencia culinaria inolvidable,Danel S,"Una de las mejores propuestas gastronómicas en la isla. Comida exquisita, excelente atención, volvería sin dudarlo.",1 contribución,1.0,Escrita el 25 de enero de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,,,,,,0.0
