web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,image3,image4,image5,position,name,data17,data18,data19,data20
1776262187-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,UNO DE LOS MEJORES RESTAURANTES A LOS QUE PUEDES IR,ANA J,"Me encanta este sitio. Su comida es espectacular, cambian la carta a menudo pero siempre hay platos deliciosos y originales. Además, el trato es cercano y agradable, son muy atentos. Lo recomiendo muchísimo. Muchas gracias por todo, seguid así! Volveremos pronto :)",Escrita el 11 de febrero de 2025,Millones de gracias por recomendarnos con tanto cariño Ana J. Nos encantará verte muy pronto.,1 contribución,,,,,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,Amordmadre,Leer más,Leer más,0,
1776262187-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,"Muy buena atención , calidad comida y un sitio muy acogedor.",Iciar,"Ya hemos ido varias veces porque el trato de personal y atención es muy buena , además de la comida , super bien preparado, todo está buenísimo y el local y la terraza con muy buena decoración. Sin duda volveremos más veces. Muchas gracias",Escrita el 11 de febrero de 2025,,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,,,Leer más,,0,
1776262187-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Comida rica y buena atención al cliente,Sightseer56985100213,"Fui el sábado con mi hermano y mi cuñada.  La comida estaba muy rica (cosa que ya sabía porque había ido en varias ocasiones) y nos sirvieron muy rápido, pero valoro sobre todo que tuvieron muy en cuenta la alergia de mi cuñada y estuvieron super atentos y nos dieron recomendaciones y cuidaron que ningún plato incluyese los alimentos a los que tenía alergia. Si ya me gustaba antes ahora volveré con más frecuencia",Escrita el 11 de febrero de 2025,,2 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,2,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,,Leer más,,0,
1776262187-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Quedamos encantados,Carmen r,"Yo había ido con anterioridad con mi marido y nos gusto mucho. Quedamos con unos amigos y la verdad que salimos encantados, pedimos varios platos para compartir y después un principal. Todo estaba muy bueno, yo comí hamburguesa y estaba muy muy buena, volveremos. Se me olvidaba, el trato muy amable.",Escrita el 10 de febrero de 2025,,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,,,Leer más,,0,
1776262187-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,"trato estupendo,comida más o menos",paloma_ramos_66,"Me gustó pero mis espectativas eran mayores de lo que  fue.
Trato personal genial
Comida :algunos platos como la oreja(muy insípida y grasosa a mi gusto)me defraudaron.
Presa ibérica normal
Croquetas muy ricas
Taco muy rico
Gamba de cristal no me pareció gran cosa.
No sé si volvería.
Pero el trato genial",Escrita el 3 de febrero de 2025,,2 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,2,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,,,Leer más,,0,
1776262187-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Comida muy rica y peculiar,Antonio A,"No es la primera vez que vamos, quería celebrar mi cumpleaños con mi pareja y como siempre cumplió nuestras expectativas",Escrita el 21 de enero de 2025,,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,Leer más,,0,
1776262187-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Acierto seguro,Jose R,"Fenomenal una vez más la experiencia y cada vez que nos decidimos a probar un plato nuevo es un acierto seguro, obligado repetir.",Escrita el 20 de enero de 2025,,2 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,2,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,,Leer más,,0,
1776262187-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,comida con amigos.,pepe p,"Muy bien para una comida con amigos.
Buen servicio, buena comida y precios razonables.
Algunos platos, especialmente buenos",Escrita el 20 de enero de 2025,,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,,,,,,,,Leer más,,0,
1776262187-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Alta cocina a precio asequible,irialejandro a,"La comida de 10, muy elaborada y sorprendentes sabores y combinaciones, precio muy asequible, servicio encantador... nos ha encantado el sitio",Escrita el 20 de enero de 2025,,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,,,,,,,,Leer más,,0,
1776262187-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Restaurante peculiar,Lluvia,"El trato es bastante bueno y educado, tiene terraza exterior y lo que es la gastronomía se sale fuera de lo normal, recomiendo el tartán y las croquetas aunque en general está todo bastante bien.",Escrita el 20 de enero de 2025,,48 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,,,48,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/9b/12/bf/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/9b/12/c0/caption.jpg?w=300&h=300&s=1,,,,,,Leer más,,0,
1776262187-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Excelente,Beatriz T,"Buscábamos un lugar especial y lo encontramos en Amordmadre, gastronomía deliciosa, servicio y ambiente agradable y familiar. Seguro volveremos.",Escrita el 31 de diciembre de 2024,,6 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/74/61/77/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/74/61/78/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,,,Leer más,,0,
1776262174-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Comida de fusión a un precio razonable,yolanda r,"Sitio genial y totalmente recomendable . Fuimos en familia un grupo de 10 pax . Pedimos  el menú de 4 pases más principal y la verdad que la cantidad está bien , no te quedas con hambre y eso que había alguno de buen comer .. Y los postres espectaculares … Lo de la tortilla de patatas es espectacular …","Muchas gracias yolandarN1422GQ, Nos hace muy felices que disfrutéis vuestro momentos especiales con las personas que más queréis con nosotros. Muchas gracias de nuevo por vuestra visita, y tus generosas palabras. Nos encantará volver a veros celebrando pronto.",1 contribución,1,Escrita el 22 de abril de 2025,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,Amordmadre,1 contribución,Leer más,Leer más,0.0
1776262174-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Extraordinario y sorprendente,Quest21669668042,"Todo un descubrimiento.
El salón del local es pequeño pero tiene una buena terraza cerrada y otra abierta.
El personal muy profesional y agradable.
Y la carta es estupenda.
Buena cocina de calidad con una maravillosa presentación de los platos (se nos iban los ojos a todos) 
Quedamos super satisfechos de la experiencia y con ganas de volver.","Mil gracias por compartir tu opinión, cuando conseguimos sacaros de los ordinario y además sorprenderos no podemos sentirnos mejor. Es justo nuestro objetivo. Qué gusto leerte! Esperamos volver a veros muy pronto.",1 contribución,1,Escrita el 31 de marzo de 2025,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,Amordmadre,1 contribución,Leer más,Leer más,0.0
1776262174-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,!!Qué rico todo!!,Margarita L,"Como en ocasiones anteriores que hemos ido, la comida es excepcional y siempre supera nuestras expectativas. Como siempre la atención no puede ser mejor. Volveremos no tardando mucho.","Millones de gracias H72UUmargarital, deseando volver a veros disfrutar con nosotros.",1 contribución,1,Escrita el 31 de marzo de 2025,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,Amordmadre,1 contribución,Leer más,Leer más,0.0
1776262174-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,"Todo en general, muy bien",Eva M,"Estuvimos unas amigas comiendo allí y la verdad es que salí muy contenta.
Nos pedimos para beber un ""distinto"" que estaba riquísimo.
Los platos que pedimos para comer estaban muy buenos y las camareras muy atentas y majas.
Volveremos, seguro.","Muchísimas gracias evamN8700AK. Primero por visitarnos y además por escribir tu opinión tan generosa, pasamos tu opinión al staff de cocina y sala. Nos vemos muy pronto.",1 contribución,1,Escrita el 31 de marzo de 2025,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,Amordmadre,1 contribución,Leer más,Leer más,0.0
1776262174-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Muy recomendado en el barrio,Marta G,"Sitio muy bien ambientado en el barrio, camareras simpáticas. Desde la ultima vez que fui cambiaron algo de la carta y todo muy rico la verdad, especial mención a las vieiras.","Muchas gracias Y2262EOmartag, nuestro equipo de sala estará muy orgulloso de leerte. Si, incorporamos platos nuevos con frecuencia, pero que no dejéis nunca de sorprenderos. Nos encantará veros de nuevo.",1 contribución,1,Escrita el 27 de marzo de 2025,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/74/d0/ab/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,Amordmadre,1 contribución,Leer más,Leer más,0.0
1776262174-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Comida estupenda,Ana B,"Fuimos por primera vez el otro día y tuvimos un trato estupendo. Y por supuesto la comida riquísima, pedimos ensaladilla rusa, tortilla de patata con trufa y oreja. Todo de 10 pero la oreja  espectacular. Restaurante muy recomendable.","Milllones de gracias Ana B, por vuestra visita y por tu recomendación tan generosa. Nos encantará volver a verte muy pronto.",2 contribuciones,2,Escrita el 25 de marzo de 2025,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,Amordmadre,2 contribuciones,Leer más,Leer más,0.0
1776262174-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Sorprendente,Daniel,"Estupendo restaurante con  una cocina muy innovadora. Buena materia prima, y platos muy originales. Celebramos el día del padre con gran acierto en este lugar.
¡¡¡¡Os lo recomiendo!!!!","Millones de gracias por tu recomendación DanielmQ6893JI, nos hace muy felices que celebréis vuestro momentos especiales con nosotros. Nos encantará volver a sorprenderos muy pronto.",6 contribuciones,6,Escrita el 24 de marzo de 2025,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,Amordmadre,España,Leer más,Leer más,0.0
1776262174-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Siempre perfecto,María M,Como siempre todo fantástico! Muy recomendable la comida y la atención de 10! La carta da para ir una y otra vez sin cansarte,Millones de gracias por tu recomendación  Z9825LEmar_am. nos encantará verte una y otra vez disfrutando con los tuyos.,1 contribución,1,Escrita el 24 de marzo de 2025,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,Amordmadre,"Madrid, España",Leer más,Leer más,0.0
1776262174-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Un soplo de aire fresco en Vallecas,Mamen B,Un soplo de aire fresco en Vallecas. Una cocina y un servicio espectacular. Atrévete a probar cualquiera de sus platos.,"Millones d gracias por publicar tu opinión 585mamenb, Nos hace muy felices que disfrutarais mucho. Nos vemos muy pronto.",23 contribuciones,23,Escrita el 23 de marzo de 2025,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/c1/68/5c/mamen-b.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,Amordmadre,"Madrid, España",Leer más,Leer más,0.0
1776262174-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Esperábamos más y fue mucho menos..,Isabel R,"Error en la ubicación puesto que la reserva era en terraza y finalmente nos ubicaron dentro por error en su organización cuando previamente nos pidieron adelantar la hora de la reserva una media hora...
Comida: croquetas increíbles de buenas y cremosas, tacos de rabo muy ricos, aunque llegaron algo fríos...
Costilla buena, pero sin ser nada especial mas allá del atrezzo del humo....creo q el complemento del arroz no le va, una patata siempre es mejor opción 
Entraña dura y muy hecha
Tarta de queso demasiado líquida y derretida, poco sabor a queso y mucho a azúcar
Salimos a 37e por comensal con la sensación de no haber disfrutado como esperábamos","Gracias por tu visita y tu opinión J4068GFisabelr, Sentimos mucho que algunos de los platos no fueran del todo de tu gusto. Por favor la próxima vez si encuentras algo que no te convenza en algún plato, habla con nuestro jefe de sala, sabra como solucionarlo y que salgas con el mejor sabor. Nos vemos muy pronto.",1 contribución,1,Escrita el 18 de marzo de 2025,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,Amordmadre,1 contribución,Leer más,Leer más,0.0
1776262174-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,De lo mejor del barrio 🔝🔝,Aly O,"Super recomendable, una carta muy extensa y una muy buena atención.
Volveremos sin lugar a dudas 👍🏼👍🏼👍🏼👍🏼👍🏼",Muchísimas gracias por tu recomendación alyo633.  Nos encantará veros muy pronto.,300 contribuciones,300,Escrita el 17 de marzo de 2025,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/60/65/03/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/12/ab/6d/alyo633.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,Amordmadre,"Madrid, España",Leer más,Leer más,0.0
1776262174-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Servicio rápido y comida muy rica,nieves g,"Llegamos tarde y no pusieron ningún problema.
Nos atendieron súper bien.
La comida original pero muy sabrosa.
Para volver !!!!",Millones de gracias por compartir tus palabras nieves g. Nos vemos muy pronto,5 contribuciones,5,Escrita el 9 de marzo de 2025,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,Amordmadre,5 contribuciones,Leer más,Leer más,0.0
1776262174-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Un lugar con platos muy originales y deliciosos,Yolanda G,"Una terraza con mucho encanto. Su comida muy bien elaborada, con platos originales y deliciosos. Además, tienen una carta de vinos muy extensa.",Muchas gracias por regalarnos tus generosas palabras YolandagN8360HN. Esperamos verte muy pronto disfrutando de nuevo.,4 contribuciones,4,Escrita el 25 de febrero de 2025,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,Amordmadre,4 contribuciones,Leer más,Leer más,0.0
1776262174-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Tenéis que probarlo,Mercedes d,"La verdad es que siempre lo veíamos lleno, pero nunca nos habíamos parado a probarlo. Nos decantamos por la comida del día de los enamorados, y todo estaba delicioso, muy elaborado y casero!! Vamos, lo recomendamos fervientemente, y con el precio del menú especial, 19'50€, más todavía. Amenazamos con volver frecuentemente!","Muchas gracias Merchusky, por venir en un día tan especial, y además recomendarnos! Nos vemos pronto.",58 contribuciones,58,Escrita el 23 de febrero de 2025,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,Hay que reservar,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,Amordmadre,"Madrid, España",Leer más,Leer más,0.0
1776262174-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Todo un placer,Luis C,"Una vez más, una inolvidable experiencia culinaria con amigos llegados desde muy lejos para conocer este lugar del que tanto les había hablado. La atención, la facilidad para atender nuestras solicitudes, las recomendaciones a la hora de elegir, la calidad de los platos. Un auténtico placer como siempre. Gracias por todo","Millones de gracias Luis C. El placer, desde luego es nuestro, sobretodo cuando leemos tus generosas palabras. Muchas gracias de nuevo, somos muy afortunados con vuestras visitas. Nos vemos muy pronto.",6 contribuciones,6,Escrita el 23 de febrero de 2025,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/ff/7d/ba/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,Amordmadre,6 contribuciones,Leer más,Leer más,0.0
