web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,data17,data18,image3,image4,position
1776264229-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Recomendable,Javier O,"Un lugar muy agradable con buena atención y buen producto, nos aconsejaron muy bien y salimos muy satisfechos, las raciones buenas.",304 contribuciones,304,Escrita el 4 de diciembre de 2024,"Vitoria-Gasteiz, España",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,,,
1776264229-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Recomendable,Valli C,La comida es excelente y la atención estupenda. Uno de los mejores restaurantes japoneses de Madrid y a un precio asequible. ¡Volveremos!,1 contribución,1,Escrita el 29 de noviembre de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,,,
1776264229-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Una maravillosa experiencia,Rosa n,"Me encantó este sitio, la comida de 10, de calidad, muy bien cocinado y presentado todo, una explosión de sabor en cada plato, ni un pero.
Fuimos a celebrar el cumpleaños de minpareja y le trajeron el postre con su vela, la verdad que fueron súper atentos, nos explicaron cada plato, nos hicieron recomendaciones, muy profesionales y una atención exquisita.
Como plus, son un restaurante pet friendly y pudimos disfrutar de la comida acompañados de nuestro perro. 
Lo recomiendo 100%!!!",16 contribuciones,16,Escrita el 28 de noviembre de 2024,16 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,Preparaos para una explosión de sabor,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/3b/a7/4f/rosany1064ys.jpg?w=100&h=-1&s=1,,,,,,
1776264212-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,"Frescura, Sabor, Personalidad",toddk981,Ahora nos hemos acostumbrado a visitar al Sr. Siempre que estamos en Madrid. Vivimos en la costa mediterránea pero visitamos a menudo. Siempre podemos contar con sushi de alta calidad y un ambiente agradable y Recibimiento. La ubicación céntrica en Chueca facilita el acceso desde la mayor parte de la ciudad. Me encanta IT y volveremos la próxima vez (y cada vez) que estemos en Madrid.,10 contribuciones,10,Escrita el 9 de agosto de 2025,"Alicante, España",Mostrar original,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,
1776264212-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Menú fusión Japonés súper recomendable,Camila,"Increíble restaurante! La propuesta del menú fusión nos encanto. Probamos varias cosas y cada una era una experiencia distinta. El servicio también es fenomenal, David nos acompañó durante la cena recomendándonos platos y explicándonos cómo combinarlos. Sin duda volveremos.",1 contribución,1,Escrita el 12 de julio de 2025,"Pilar, Argentina",,Calidad/precio,Ambiente,Servicio,Comida,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/72/31/98/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/72/31/99/caption.jpg?w=300&h=300&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/72/31/9a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,
1776264212-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Pequeño restaurante japonés con muchas opciones,Bondsammax,"Este era un pequeño restaurante lindo escondido. Un montón de opciones de sushi y otros platos japoneses. El único problema es que sirvieron un entrante libre de atún (entretenido) que era demasiado fuerte y pescado para nosotros. Por lo demás, todo estaba bien.",561 contribuciones,561,Escrita el 19 de junio de 2025,NE US,Mostrar original,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/63/92/23/bondsammax.jpg?w=100&h=-1&s=1,
1776264212-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Experiencia culinaria,Carlitos P,¡Ha sido toda una experiencia culinaria! Y David nos ha recomendado todo genial hemos salido saciados y ha sido una combinación perfecta de sabores,3 contribuciones,3,Escrita el 14 de junio de 2025,3 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,
1776264212-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,"Maravillosa atención, estábamos solos era recién abierto, una vez más la profesional de “los ojos brillantes”10 🥰🥰🥰👍👍👍👍👍",Mariangeles D,"Excelencia de los profesionales, 
Es un lujo compartir una riquísima comida allí, éxito asegurado. La “chica de los ojos brillantes” es lo más, su sonrisa y su mirada te deslumbrará como cada bocado que te lleves a la boca. Siempre atenta a todo. El ambiente lo convierten ellos en especial, sin desmerecer la comida, Silvia eres un 🌞 tu compañero también. 
Hasta los pedidos van preparados como lo que vas a comer un regalo!! Gracias",1 contribución,1,Escrita el 29 de mayo de 2025,1 contribución,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,
1776264212-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Un trato excelente y una cocina de altísima calidad.,Guillermo R,"Nuestra primera experiencia en Sr.Ito ni ha podido ser más satisfactoria. Desde el magnífico trato del persona hasta la gran calidad de cocina lo han convertido en estupendo descubrimiento. 
Sin duda repetiremos.",20 contribuciones,20,Escrita el 28 de abril de 2025,"Madrid, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,
1776264212-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,cena con amigas,Carolina,"El sitio está genial. Todo lo que comimos estaba maravilloso, pero los pan bao eran geniales. La camarera del pelo corto ( no recuerdo su nombre) nos atendió genial y nos recomendó muy bien en cuanto a cantidad. Sin duda repetiría",3 contribuciones,3,Escrita el 20 de abril de 2025,3 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,
1776264212-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Experiencia maravillosas,Ariadna Jimenez,"Trato maravilloso, materia prima de calidad, muy bien balance de con el precio, hemos estado muy bien, lo recomiendo muchisimo",1 contribución,1,Escrita el 19 de abril de 2025,1 contribución,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,
1776264212-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Me encanta,Susana G,Vengo todas las semanas a comer su menú de mediodía y no puede gústame más. El personal además es encantador. Muchas Gracias,1 contribución,1,Escrita el 15 de abril de 2025,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,
1776264212-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Súper recomendable de verdad!!!,Rosa R,"Este sitio es de los que nunca podría decepcionarte. Me lo recomendaron hace años y no es la primera vez que voy aunque dada la maravillosa experiencia es difícil conseguir reserva con poca antelación.
La calidad de los platos unida a la originalidad de los mismos ya asegura una experiencia gastronómica fabulosa. El equipo es de lo mejorcito que he visto en años: no solo están súper atentos de cada comensal, sino que me sorprende que todavía haya gente que atienda las mesas con tantísimo gusto y educación, lo digo sobretodo por una de las camareras de pelo corto que a parte de ser encantadora daba gusto preguntarle cualquier cosa. 
El ambiente es súper agradable, la planta de abajo muy acogedora y además me encanta ir por la zona porque es perfecta para tomar algo en los bares de chueca.
Seguiré yendo y recomendándolo siempre, creo q la calidad-precio es estupenda.",1 contribución,1,Escrita el 15 de abril de 2025,1 contribución,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,
1776264212-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Nos encantó,Pepa560,Tiene un 10 como restaurante. La comida fusión es espectacular. El personal y el sitio también. Muy recomendable. Sin duda volveremos,7 contribuciones,7,Escrita el 6 de abril de 2025,"Alicante, España",,Calidad/precio,Ambiente,Servicio,Comida,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/88/9c/ea/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/88/9c/eb/caption.jpg?w=300&h=300&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/88/9c/ec/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,
1776264212-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Encantador y Riquísimo,kurraGervas,"El sitio es encantador, luminoso y con una decoración con personalidad. El equipo fue muy  atentos, cariñoso y profesional. Nos ayudó en todo momento con nuestras dudas con infinita paciencia. La comida riquísima, bien presentada, equilibrada y con una propuesta de menú con combinaciones muy interesantes. La experiencia total fue super agradable y sin duda volveremos. Recomendable total mente.",2 contribuciones,2,Escrita el 23 de marzo de 2025,"Madrid, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,
1776264212-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Gran joya pequeña,Roger J,"Deliciosa comida japonesa con un toque moderno, algo fusión. Pequeño restaurante sofisticado y elegante, de buen gusto.",207 contribuciones,207,Escrita el 17 de marzo de 2025,"Eugene, Oregón",Mostrar original,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/c1/0b/66/travellinghawk777.jpg?w=100&h=-1&s=1,
1776264212-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,10/10,ednellA,"El local tiene dos plantas con pocas mesas + barra (reservad para aseguraros mesa, sobre todo si sois más de dos), es acogedor y la decoración le da un toque muy especial.

La comida riquísima, sobre todo los nigiris de salmón con lima flameados (repetimos). Con lo que pedimos nos quedamos perfectos. Tienen una carta variada y llena de cosas con toques especiales. 

Dos Alhambras + un tartar de langostinos, tres baos, cuatro nigiris y ocho rolls + dos mochis = 81'5€. 

El servicio es rápido y muy bueno, la comida va saliendo según acabas el plato anterior, todo perfecto.",373 contribuciones,373,Escrita el 16 de marzo de 2025,"León, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/5c/6f/76/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/5c/6f/77/caption.jpg?w=300&h=300&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/5c/6f/78/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/99/c7/d8/caption.jpg?w=100&h=-1&s=1,
1776264212-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Poca cantidad pero explosión de sabores,Davi G,"La comida es excepcional y de calidad. Cada plato tenía una explosión de sabor… exquisito. Hemos ido dos veces pero esperamos que sean muchas más. Las gyozas de rabo de toro son una maravilla, los rolls también, el tata KO de salmon igual. La única queja son las cantidades, muy pequeñas, por lo que, es un restaurante caro pero merece la pena.",134 contribuciones,134,Escrita el 6 de marzo de 2025,"Madrid, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/35/d7/65/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/35/d7/66/caption.jpg?w=300&h=300&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/35/d7/67/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/57/c0/32/caption.jpg?w=100&h=-1&s=1,
