web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,image,image2,image3,image4,position,name
1779545172-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Excelente!!!,Conchi g,Comida riquísima y una muy buena atención. Los cafés que nos sirvieron espectaculares. Muy simpática la chica que nos atendió Fiorella,Muchíísimas gracias por elegirnos y por dejarnos esta reseña 💜💜,2 contribuciones,Escrita el 23 de marzo de 2025,Escrita el 25 de marzo de 2025,,,Calidad/precio,Comida,Servicio,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/6c/92/d0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,2,Almalibre Açaí House
1779545172-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Lindo y increíble comida,rjohn78,"Absolutamente increíble! Hicimos reservas esta mañana, pero técnicamente no las necesitábamos. Lugar super lindo y encantador. ¡Comería una y otra vez!",Thank you so much for your visit and revire 💜🙏🏻🌱,"Fayetteville, Georgia",Escrita el 21 de marzo de 2025,Escrita el 25 de marzo de 2025,49 contribuciones,Traducir respuesta,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/67/87/d1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d7/26/e6/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,49,Almalibre Açaí House
1779545172-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Repetiria,Angel R,"Fue la primer vez que probe un bol de acai y quede muy satisfecho. Fui por recomendacion acompañado de mi pareja, tomamos un bol de acai, una hamburguesa de guisantes, un té y cafe frio. Todo un acierto",Muchíísimas gracias por elegirnos 🥹💜💫,3 contribuciones,Escrita el 14 de marzo de 2025,Escrita el 25 de marzo de 2025,,,Calidad/precio,Comida,Servicio,Ambiente,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,3,Almalibre Açaí House
1779545172-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Muy lindo y agradable lugar. La atención y comida excepcionales,constanza g,"Muy lindo lugar y comida excepcional! La tención un 10, muy amables las chicas que atienden. No reservamos, pero las chicas hicieron lo posible para que pudiéramos tener una mesa. Los recomiendo 100%",Muchíísimas gracias por dejarnos esta hermosa reseña 💜💜💜,1 contribución,Escrita el 10 de marzo de 2025,Escrita el 25 de marzo de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,1,Almalibre Açaí House
1779545172-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Muy buen servicio y comida de 10,Miguel R,"Me han atendido Fabi y Margarita, la atención de diez. Muy simpáticas, y además nos dieron a probar una crema de cacahuete con caramelo salado muy rico. Nos pedimos 2 tostadas de aguacate y su açai, todo muy bueno y buenas cantidades. Volveremos seguro.",Muchíísimas gracias!!! Las esperamos pronto 💜💜💜,2 contribuciones,Escrita el 5 de marzo de 2025,Escrita el 25 de marzo de 2025,,,,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/35/00/2c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,2,Almalibre Açaí House
1779545172-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,¡Muy contento!,Lisa S,"Muy buen servicio y café! Lugar tranquilo con buena música en un ambiente acogedor. No probé la comida pero se veía muy deliciosa, buenas alternativas para los veganos.",So happy you enjoyed it! Come back anytime 💜💜💜,2 contribuciones,Escrita el 25 de febrero de 2025,Escrita el 27 de febrero de 2025,,Traducir respuesta,,,,,Mostrar original,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,2,Almalibre Açaí House
1779545172-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Delicioso para el almuerzo!,Michael C,"Este es un restaurante maravilloso y agradable para un desayuno o brunch saludable pero delicioso. La comida es deliciosa y servida por el personal muy amable. 
No estábamos familiarizados con el açai y cada uno nos dio una muestra para probar - delicioso! Recomendaría reservar (que se puede hacer en línea) , ya que es un lugar concurrido y popular.",Thank you so much 💜💜💜,"Belfast, Reino Unido",Escrita el 24 de febrero de 2025,Escrita el 25 de marzo de 2025,8 contribuciones,Traducir respuesta,,,,,Mostrar original,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/7f/90/e2/michael-c.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,8,Almalibre Açaí House
1779545209-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,El mejor açaí!,Rosa Adela S,"Comida buenísima, excelente trato y ambiente muy agradable. Me hubiera gustado que la mesa y las sillas fueran más cómodas.",¡Nos encanta que te encante! 🫶 ¡Te esperamos pronto!,"Barcelona, España",Escrita el 7 de febrero de 2025,1 contribución,Escrita el 27 de febrero de 2025,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,1,Almalibre Açaí House
1779545209-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Unas de las mejores cafeterías de Madrid,Susana P,"Me pedí un bagel que estaba buenísimo no le faltaba nada, la espera fue corta y a pesar de que había solo un tipo de waffle, este tenía una explosión de sabores, por no hablar de los bowl de açai, se nota que era su especialidad. Un buen ambiente y buen trato. Desde luego volveré seguro",¡Así da gusto! Gracias por compartir tu experiencia 💜,3 contribuciones,Escrita el 1 de febrero de 2025,,Escrita el 27 de febrero de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/fa/02/25/susana-p.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,3,Almalibre Açaí House
1779545209-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Impresionante!!!,d0r0thyjane,"El ambiente, la comida, el precio, el personal (Mila y Michelle) , la vibra: eran tan acogedores y cálidos! 
Pedí medina y mi amiga tenía alma croffle. super riquísimo! ! compartimos un tazón brasileño de capoeira acai, oh wow! 🤤servicio de comida fue rápido y las dos damas que nos sirven son que amables! recomiendo encarecidamente y sin duda volveré y traer amigos!",Your words made our day! Thanks a lot! 😊,"Madrid, España",Escrita el 26 de enero de 2025,10 contribuciones,Escrita el 27 de febrero de 2025,,,,,,,,Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/ab/7d/46/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/ab/7e/d1/dorothy-jane-a.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,10,Almalibre Açaí House
1779545209-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,GRAN SERVICIO & COMIDA,Molly S,"Gran servicio y comida! Deliciosas tostadas y café, y el personal es muy dulce y servicial. Muy lindo café también. Muy recomendable!",Thank you so much for this review 🥹💜🙏🏻,13 contribuciones,Escrita el 11 de enero de 2025,,Escrita el 16 de enero de 2025,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,13,Almalibre Açaí House
1779545209-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Desayuno de 10,Jade,"Desayuno inmejorable y la atención de las chicas de 10!!!!! 
Una gran sorpresa y un descubrimiento que hará que volvamos seguro",Muchíísimas gracias!!! Os esperamos pronto 💜,1 contribución,Escrita el 4 de enero de 2025,,Escrita el 9 de enero de 2025,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/7c/18/97/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,1,Almalibre Açaí House
1779545209-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,The Beats,Jonathan S,Me gustó mucho la atención de parte del personal y eso mi pareja y yo lo valoramos mucho y me impresionó el acai ya que nunca lo había probado sin duda volveremos,Ohhh 💜 Muchas gracias!!! Os esperamos pronto 🫂,1 contribución,Escrita el 2 de enero de 2025,,Escrita el 9 de enero de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,1,Almalibre Açaí House
1779545209-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Para recomendada si vienes a Madrid,Kiki G,"Es un lugar al que siempre volveré, he estado en bastantes ocasiones y a cada cual mejor que la anterior.
El ambiente es tremendamente agradable y el local muy limpio, además de estar decorado de manera bastante bonita y acogedora.
Todo lo que he podido probar esta bastante rico, tanto el açai, el café, las tostadas, etc. En cuanto a la preparación de los platos, los decoran con bastante gusto y la cantidad es perfecta.
La chica que nos ha atendido las últimas veces que hemos estado es un auténtico encanto.",Quéé hermosas palabras!!! Muchas gracias por elegirnos siempre 💜,1 contribución,Escrita el 28 de diciembre de 2024,,Escrita el 9 de enero de 2025,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/6f/47/90/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,1,Almalibre Açaí House
1779545209-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Estupendo brunch,pexebe,Local pequeñito y acogedor para desayuno o brunch. La camarera muy atenta y la comida muy rica. Menu vegetariano y vegano,Muchíísimas gracias por elegirnos 🫂,"Barcelona, España",Escrita el 27 de diciembre de 2024,3 contribuciones,Escrita el 9 de enero de 2025,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,3,Almalibre Açaí House
1779545209-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Cariño y comida basada en plantas,Leonardo Sosa A,"En la esquina de Libertad y San Marcos comenzamos con un ambiente cálido, lleno de plantitas y colores. 
La atención personalizada, simpática y tranquila de Michelle hizo que con su paciencia entendiéramos el menú y así quedar satisfechos con el pedido. 
La comida sabrosa, basada en plantas y con una presentación cariñosa y muy linda, fue un gran descubrimiento.",Muchíísimas gracias por estas hermosas palabras 💜💜💜💜,2 contribuciones,Escrita el 27 de diciembre de 2024,,Escrita el 9 de enero de 2025,Calidad/precio,Comida,Servicio,Ambiente,Llegar temprano,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/6d/74/8b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/7d/85/9b/leonardo-sosa-a.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,2,Almalibre Açaí House
1779545209-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Espetacular! Increíble comida y atención! Todo vegano y hecho con amor!,Surian S,"Espetacular! Increíble comida y atención! Todo vegano y hecho con amor! Nos encantó el lugar, lindo sitio. Volveremos seguro para almorzar y probar más opciones veganas, tan raras en Madrid.",Muchíísimas gracias!!! Los esperamos siempre 💜💫,1 contribución,Escrita el 27 de diciembre de 2024,,Escrita el 9 de enero de 2025,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,1,Almalibre Açaí House
1779545209-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,El mejor açai de Madrid,Alicia E,"Fuimos a tomar unos bowls de Açai y nos encantaron. Estaban super buenos, el personal fue muy agradable y el local es muy acogedor. Un 10 de 10",Ohhh qué alegría leerte!!! Muchas gracias por venir!!!,1 contribución,Escrita el 23 de diciembre de 2024,,Escrita el 9 de enero de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,1,Almalibre Açaí House
1779545209-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Una belleza ome!,Charles E,"Oigan,
Si lo que buscan es un desayuno de campenones, pues este lugar es una belleza! 
Solo falto el calentado pero lo que tenian fue de una saborosura!",Muchas gracias por dejarnos esta reseña 💜🙏🏻,1 contribución,Escrita el 22 de diciembre de 2024,,Escrita el 9 de enero de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,1,Almalibre Açaí House
1779545209-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,muy buena comida y atención volveré sin duda,Sia P,casi todo vegano y saludable delicioso y las camareras un amor hemos disfrutado mucho del menú de brunch completo para desayunar,Ohhh qué alegría leerte!!! Muchas gracias por elegirnos 💜,1 contribución,Escrita el 22 de diciembre de 2024,,Escrita el 9 de enero de 2025,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/65/58/19/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,1,Almalibre Açaí House
1779545209-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Muuuuy recomendable!!! :),Marta C,"Comida muy rica y saludable. Platos muy abundantes y bonitos a la vista. Súper recomendable. Atención de 10 del personal, en especial destacar a Fabi por todo!! Volveremos seguro!!",Muchas gracias por estas hermosas palabras 💜🙏🏻,1 contribución,Escrita el 16 de diciembre de 2024,,Escrita el 9 de enero de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,1,Almalibre Açaí House
1779545209-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Buena atención,Gutierrez Rodrí... A,"BUENÍSIMO!!! 100% RECOMENDANDO ❤️❤️ MUY BUENA ATENCIÓN Y MUY RICO TODO, APARTE DE QUE TODO LLEGA SÚPER RAPIDÍSIMO 👏🥳",Muchíísimas gracias!!! Los esperamos siempre 💜💫,1 contribución,Escrita el 12 de diciembre de 2024,,Escrita el 9 de enero de 2025,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,,1,Almalibre Açaí House
1779545240-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Excelente atención,Juanes Hoyos,"Me gustó mucho la buena atención de las personas que trabajan allí, además los precios están muy bien y la comida es muy :))",Ohhh qué alegría leerte!!! Muchas gracias por venir 💜💜💜,2 contribuciones,Escrita el 9 de diciembre de 2024,Escrita el 9 de enero de 2025,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,2,Almalibre Açaí House
1779545240-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Excelente,Karen Y,"Trato excelente tostadas buenísimas y un lugar acogedor. 
Totalmente recomendado. Además de desayunos hay mucha variedad de comida",Muchas gracias por dejarnos esta reseña 💜🙏🏻,1 contribución,Escrita el 7 de diciembre de 2024,Escrita el 9 de enero de 2025,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,1,Almalibre Açaí House
1779545240-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Un lugar encantador ☺️,Joselin S,"Lugar encantador, ambiente tranquilo y sus cafés y postres deliciosos. Sin duda un lugar para venir y merendar 🥰 recomendación el Açaí Matcha Latte 100/10",Muchas gracias por venir!!! Te esperamos pronto 🥹💜,4 contribuciones,Escrita el 6 de diciembre de 2024,Escrita el 9 de enero de 2025,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/49/0e/ff/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/49/0f/00/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,4,Almalibre Açaí House
1779545240-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d18930235-Reviews-Almalibre_Acai_House-Madrid.html,Fantástico,Laura C,"Un lugar para repetir mil veces. Las chicas son encantadoras y la comida está muy rica y hecha con amor . El local es chiquitito, tranquilo y muy agradable. No puedo decir nada malo la verdad.   
Gracias por todo! :)",Muchas gracias por estas hermosas palabras 💜🙏🏻,1 contribución,Escrita el 5 de diciembre de 2024,Escrita el 9 de enero de 2025,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/25/28/84/almalibreacaihouse.jpg?w=100&h=-1&s=1,1,Almalibre Açaí House
